Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Latitude,Longitude,Airport.Code,Airport.Name,Injury.Severity,Aircraft.damage,Aircraft.Category,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,FAR.Description,Schedule,Purpose.of.flight,Air.carrier,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,Publication.Date
20020917X01902,Incident,CHI82IA112,1982-04-02,"DETROIT, MI",United States,,,DTW,DETROIT METRO,Incident,Minor,Airplane,N23BX,Rockwell,SABRELINER 65,No,2.0,Turbo Fan,Part 91: General Aviation,,Executive/corporate,,0.0,0.0,0.0,8.0,VMC,Taxi,Probable Cause,02-04-1983
20020917X01773,Incident,ATL82IA103,1982-04-02,"SAVANNAH, GA",United States,,,,,Incident,Minor,Airplane,N25MA,Piper,PA-31P,No,2.0,Reciprocating,Part 91: General Aviation,,Executive/corporate,,0.0,0.0,0.0,2.0,VMC,Cruise,Probable Cause,02-04-1983
20020917X01903,Incident,CHI82IA113,1982-04-05,"WAUKEGAN, IL",United States,,,UGN,WAUKEGAN HEMORIAL,Incident,Minor,Airplane,N69341,Cessna,402B,No,2.0,Reciprocating,Part 135: Air Taxi & Commuter,NSCH,Unknown,"Superior Air Service, Inc.",0.0,0.0,0.0,3.0,IMC,Approach,Probable Cause,05-04-1983
20020917X01904,Incident,CHI82IA117,1982-04-09,"YOUNGSTOWN, OH",United States,,,YNG,YOUNGSTOWN MUNICIPAL,Incident,Minor,Airplane,N7627U,Boeing,727-200,No,3.0,Turbo Fan,Part 121: Air Carrier,SCHD,Unknown,United Airlines,0.0,0.0,0.0,108.0,IMC,Landing,Probable Cause,09-04-1983
20020917X01774,Incident,ATL82IA109,1982-04-18,"ASHEVILLE, NC",United States,,,,ASHEVILLE AIRPORT,Incident,Minor,Airplane,N95WA,Beech,BE-99,No,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,SCHD,Unknown,Wheeler Airlines,0.0,0.0,0.0,11.0,VMC,Takeoff,Probable Cause,18-04-1983
20020917X02479,Incident,MKC82IA059,1982-04-20,"ST. LOUIS, MO",United States,,,STL,LAMBERT-ST. LOUIS INTL,Incident,Minor,Airplane,N2N,Rockwell,NA-265-65,No,2.0,Turbo Fan,Part 91F: Special Flt Ops.,UNK,Executive/corporate,,0.0,0.0,0.0,2.0,VMC,Approach,Probable Cause,20-04-1983
20020917X02421,Incident,MIA82IA102,1982-04-20,"MIAMI, FL",United States,,,MIA,MIAMI INTERNATIONAL,Incident,Minor,Airplane,N333EA,Lockheed,L-1011,No,3.0,Turbo Fan,Part 121: Air Carrier,SCHD,Unknown,"Eastern Airlines, Inc.",0.0,0.0,0.0,152.0,VMC,Landing,Probable Cause,20-04-1983
20020917X01775,Incident,ATL82IA121,1982-04-30,"ENTERPRISE, AL",United States,,,93J,ENTERPRISE MUNICIPAL,Incident,Minor,Airplane,N53RT,Piper,PA-31-350,No,2.0,Reciprocating,Part 135: Air Taxi & Commuter,NSCH,Unknown,Huntsville Aviation,0.0,0.0,0.0,7.0,VMC,Takeoff,Probable Cause,30-04-1983
20020917X03892,Incident,MKC82IA070,1982-05-01,"AVA, MO",United States,,,73K,BILL MARTIN MEMORIAL,Incident,Minor,Airplane,N9783R,Beech,M35,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Cruise,Probable Cause,01-05-1983
20020917X03893,Incident,MKC82IA071,1982-05-04,"CHESTERFIELD, MO",United States,,,SUS,SPIRIT OF ST. LOUIS,Incident,Minor,Airplane,N2048Z,Beech,F33A,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,04-05-1983
